time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-01T22:47:15.720Z,33.509,-116.5078333,10.59,0.04,ml,7,186,0.0521,0.07,ci,ci37444301,2020-05-02T00:05:07.868Z,"16km ESE of Anza, CA",earthquake,0.35,0.52,0.213,4,reviewed,ci,ci
2020-05-01T22:39:02.605Z,61.045,-152.0773,92.1,0.8,ml,,,,0.36,ak,ak0205m4w508,2020-05-02T00:13:07.351Z,"58km NW of Nikiski, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2020-05-01T22:37:16.330Z,52.0578333,-176.085,7.4,-0.75,ml,5,116,0.02281,0.13,av,av70891284,2020-05-02T01:36:04.240Z,"44km ENE of Adak, Alaska",earthquake,0.65,0.99,0.202,5,reviewed,av,av
2020-05-01T22:35:22.770Z,17.9561,-66.8425,15,2.49,md,21,186,0.0413,0.19,pr,pr2020122024,2020-05-01T23:27:50.512Z,"4km SSW of Indios, Puerto Rico",earthquake,0.6,0.43,0.42,19,reviewed,pr,pr
2020-05-01T22:29:42.570Z,38.8311653,-122.8184967,1.64,0.93,md,13,54,0.0152,0.02,nc,nc73379030,2020-05-01T22:36:03.800Z,"8km NW of The Geysers, CA",earthquake,0.25,0.49,0.05,3,automatic,nc,nc
2020-05-01T22:27:17.043Z,13.8273,144.7921,138.26,4.3,mb,,80,0.247,0.68,us,us700098h1,2020-05-03T17:47:41.819Z,"33km NNW of Yigo Village, Guam",earthquake,9.9,5.1,0.039,189,reviewed,us,us
2020-05-01T22:26:22.100Z,36.1466667,-117.9195,3.86,2.08,ml,22,62,0.05984,0.14,ci,ci38476114,2020-05-01T22:37:18.600Z,"12km NNE of Coso Junction, CA",earthquake,0.24,0.56,0.205,25,automatic,ci,ci
2020-05-01T22:18:32.365Z,60.4862,-154.7281,7.1,2.2,ml,,,,0.8,ak,ak0205m4rsxw,2020-05-01T22:23:04.867Z,"82km N of Old Iliamna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-05-01T22:18:22.322Z,60.31,-153.0232,130,2.8,ml,,,,0.6,ak,ak0205m4rs3z,2020-05-01T23:00:56.040Z,"30km SSW of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-05-01T22:14:45.260Z,38.8193321,-122.7645035,2.16,0.88,md,14,62,0.0119,0.03,nc,nc73379015,2020-05-01T23:13:03.084Z,"4km W of Cobb, CA",earthquake,0.27,0.59,0.14,5,automatic,nc,nc
2020-05-01T22:08:11.150Z,36.1256667,-117.844,2.89,1.67,ml,18,53,0.01193,0.13,ci,ci38476098,2020-05-01T22:11:53.581Z,"13km NE of Coso Junction, CA",earthquake,0.25,0.38,0.245,25,automatic,ci,ci
2020-05-01T22:06:03.320Z,33.5178333,-116.514,11.3,0.05,ml,7,177,0.04203,0.11,ci,ci37444309,2020-05-02T00:21:09.956Z,"15km ESE of Anza, CA",earthquake,0.45,0.53,0.128,3,reviewed,ci,ci
2020-05-01T22:05:48.270Z,33.5068333,-116.5055,10.4,0.43,ml,19,89,0.05484,0.09,ci,ci38476090,2020-05-02T00:17:22.319Z,"16km ESE of Anza, CA",earthquake,0.17,0.41,0.074,8,reviewed,ci,ci
2020-05-01T22:05:22.710Z,36.1605,-120.1398333,6.36,1.83,md,37,79,0.1909,0.15,nc,nc73379010,2020-05-02T07:20:15.705Z,"6km SW of Huron, CA",earthquake,0.3,0.72,0.148,15,reviewed,nc,nc
2020-05-01T21:57:31.330Z,17.9368,-66.9116,12,3.59,md,22,206,0.0502,0.13,pr,pr2020122023,2020-05-02T21:58:55.607Z,"13km S of Guanica, Puerto Rico",earthquake,0.59,0.38,0.15,19,reviewed,pr,pr
2020-05-01T21:53:34.650Z,62.5833,-151.1938,90.7,1.2,ml,,,,0.43,ak,ak0205m4dvl1,2020-05-01T21:58:08.682Z,"62km WNW of Talkeetna, Alaska",earthquake,,1.5,,,automatic,ak,ak
2020-05-01T21:45:55.000Z,19.2281666,-155.3786621,33.84,2.17,md,40,184,0.02008,0.15,hv,hv71495907,2020-05-01T21:49:09.190Z,"10km ENE of Pahala, Hawaii",earthquake,0.61,0.7,0.15,19,automatic,hv,hv
2020-05-01T21:42:54.860Z,38.8176651,-122.8243332,2.32,0.32,md,9,87,0.009565,0.01,nc,nc73379005,2020-05-01T21:49:02.230Z,"7km NW of The Geysers, CA",earthquake,0.42,1.26,0.24,2,automatic,nc,nc
2020-05-01T21:10:04.335Z,62.2407,-149.6442,42.2,1.5,ml,,,,0.58,ak,ak0205m44lfj,2020-05-01T21:21:40.820Z,"13km NE of Y, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-05-01T21:07:26.020Z,33.8458333,-117.4993333,0.59,1.27,ml,35,40,0.05336,0.27,ci,ci38476074,2020-05-01T21:11:24.539Z,"4km SSE of Home Gardens, CA",quarry blast,0.38,31.61,0.19,30,automatic,ci,ci
2020-05-01T21:02:17.460Z,17.9671,-66.873,9,2.45,md,11,192,0.1712,0.31,pr,pr2020122022,2020-05-01T21:18:18.436Z,"2km SE of Maria Antonia, Puerto Rico",earthquake,1.02,2.009,0.32,7,reviewed,pr,pr
2020-05-01T20:57:59.509Z,61.7228,-150.1519,11.2,1.5,ml,,,,0.83,ak,ak0205m3tcq5,2020-05-01T21:08:26.227Z,"6km WSW of Willow, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-05-01T20:57:39.510Z,33.717,-116.7645,15.67,1.25,ml,41,36,0.04236,0.19,ci,ci38476058,2020-05-01T21:08:42.910Z,"5km WSW of Idyllwild, CA",earthquake,0.24,0.44,0.141,25,automatic,ci,ci
2020-05-01T20:56:05.974Z,36.6534,-116.3736,4.3,0.2,ml,20,90.67,0.027,0.1545,nn,nn00724197,2020-05-02T02:08:40.251Z,"44km SE of Beatty, Nevada",earthquake,,1.2,0.39,9,reviewed,nn,nn
2020-05-01T20:55:23.569Z,60.3055,-153.695,177.8,2.4,ml,,,,0.77,ak,ak0205m3sufc,2020-05-02T17:55:26.040Z,"47km WSW of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-05-01T20:54:28.100Z,38.7893333,-122.7614975,0.9,0.78,md,8,119,0.0203,0.04,nc,nc73378990,2020-05-01T21:58:04.042Z,"1km NNW of The Geysers, CA",earthquake,0.32,1,0.11,3,automatic,nc,nc
2020-05-01T20:48:18.460Z,35.8266667,-117.6485,7.17,0.51,ml,13,75,0.04285,0.18,ci,ci38476026,2020-05-01T23:38:19.985Z,"23km N of Ridgecrest, CA",earthquake,0.3,0.56,0.125,4,reviewed,ci,ci
2020-05-01T20:41:06.920Z,33.5973333,-117.261,5.97,0.4,ml,10,98,0.05479,0.18,ci,ci38476010,2020-05-01T20:44:56.033Z,"2km E of Wildomar, CA",earthquake,0.5,1.43,0.099,6,automatic,ci,ci
2020-05-01T20:30:35.180Z,37.0271667,-121.0953333,-0.25,2.06,md,15,81,0.01084,0.1,nc,nc73378985,2020-05-02T00:11:00.113Z,"22km W of Los Banos, CA",quarry blast,0.28,31.61,0.451,11,reviewed,nc,nc
2020-05-01T20:29:11.491Z,44.5435,-115.223,16.46,2.8,ml,,81,0.457,0.52,us,us700098en,2020-05-02T16:10:30.063Z,"65km E of Cascade, Idaho",earthquake,1.1,9,0.039,88,reviewed,us,us
2020-05-01T20:28:09.056Z,28.4003,56.8895,10,4.9,mww,,96,3.495,0.82,us,us700098et,2020-05-02T15:26:02.590Z,"97km S of Kuh Sefid, Iran",earthquake,8.6,1.9,0.098,10,reviewed,us,us
2020-05-01T20:27:04.270Z,33.491,-116.792,8.57,0.54,ml,24,36,0.08714,0.2,ci,ci38476002,2020-05-01T20:30:50.950Z,"9km NE of Aguanga, CA",earthquake,0.3,1.01,0.131,15,automatic,ci,ci
2020-05-01T20:25:20.500Z,17.9621,-66.825,11,2.47,md,22,188,0.0557,0.24,pr,pr2020122021,2020-05-01T21:06:47.667Z,"3km S of Indios, Puerto Rico",earthquake,0.61,0.46,0.25,17,reviewed,pr,pr
2020-05-01T20:20:25.114Z,-23.9174,179.8585,525.34,4.5,mb,,71,6.369,0.71,us,us700098fa,2020-05-01T22:08:04.040Z,"South of the Fiji Islands",earthquake,13.1,7.7,0.062,80,reviewed,us,us
2020-05-01T20:01:54.280Z,32.909,-116.9373333,-0.5,1.66,ml,33,94,0.07554,0.27,ci,ci38475946,2020-05-01T20:37:10.990Z,"6km NNW of Lakeside, CA",quarry blast,0.32,31.61,0.195,25,reviewed,ci,ci
2020-05-01T19:53:15.685Z,54.394,160.0043,93.44,4.1,mb,,107,1.592,0.54,us,us700098dx,2020-05-01T22:01:57.040Z,"171km NE of Yelizovo, Russia",earthquake,8.2,4.6,0.058,91,reviewed,us,us
2020-05-01T19:53:04.996Z,-21.51,-179.3378,620.93,4.5,mb,,113,4.48,0.89,us,us700098er,2020-05-01T21:46:56.040Z,"116km SW of Ndoi Island, Fiji",earthquake,11.9,7.1,0.058,99,reviewed,us,us
2020-05-01T19:50:40.466Z,51.6878,-173.5035,105.6,1.9,ml,,,,0.35,ak,ak0205m36cse,2020-05-02T00:00:32.185Z,"74km SE of Atka, Alaska",earthquake,,6,,,reviewed,ak,ak
2020-05-01T19:49:35.750Z,38.7896667,-122.767,1.67,-0.49,md,5,149,0.01234,0.01,nc,nc73378980,2020-05-02T08:46:06.177Z,"2km NNW of The Geysers, CA",earthquake,0.44,1.08,,1,reviewed,nc,nc
2020-05-01T19:48:51.450Z,53.9181667,-166.6516667,2.79,-0.86,ml,4,261,0.04065,0.05,av,av70891274,2020-05-02T01:25:29.120Z,"7km WNW of Dutch Harbor, Alaska",earthquake,0.57,0.81,0.146,4,reviewed,av,av
2020-05-01T19:39:45.610Z,17.9995,-67.0518,7,2.17,md,5,112,0.031,0.22,pr,pr2020122020,2020-05-01T21:05:38.315Z,"2km NNW of La Parguera, Puerto Rico",earthquake,1.17,0.7,0.05,4,reviewed,pr,pr
2020-05-01T19:38:27.610Z,33.26,-116.1916667,10.32,0.86,ml,29,81,0.08506,0.16,ci,ci38475930,2020-05-01T19:54:40.864Z,"14km NNW of Ocotillo Wells, CA",earthquake,0.22,0.53,0.111,15,reviewed,ci,ci
2020-05-01T19:36:17.510Z,38.8321648,-122.8186646,1.61,1.05,md,23,50,0.01103,0.02,nc,nc73378970,2020-05-01T20:18:06.626Z,"8km NW of The Geysers, CA",earthquake,0.2,0.37,0.06,5,automatic,nc,nc
2020-05-01T19:31:16.410Z,53.8478333,-166.4648333,10.98,0.18,ml,7,209,0.02365,0.09,av,av70891269,2020-05-02T01:22:27.200Z,"5km ESE of Unalaska, Alaska",earthquake,0.74,0.43,0.332,7,reviewed,av,av
2020-05-01T19:30:25.386Z,58.0178,-154.1504,64.5,1.4,ml,,,,0.25,ak,ak0205m3226i,2020-05-01T19:33:32.718Z,"54km N of Larsen Bay, Alaska",earthquake,,1.2,,,automatic,ak,ak
2020-05-01T19:25:19.180Z,36.1081667,-117.5861667,6.3,0.26,ml,9,123,0.09328,0.1,ci,ci37444285,2020-05-01T23:27:50.478Z,"33km ENE of Coso Junction, CA",earthquake,0.31,1.22,0.003,1,reviewed,ci,ci
2020-05-01T19:25:11.040Z,35.9925,-117.6851667,3.78,0.68,ml,13,73,0.0527,0.1,ci,ci38475914,2020-05-01T23:30:05.690Z,"21km ENE of Little Lake, CA",earthquake,0.21,0.49,0.112,6,reviewed,ci,ci
2020-05-01T19:23:24.620Z,38.836834,-122.8028336,1.64,0.76,md,14,128,0.00988,0.03,nc,nc73378960,2020-05-01T19:55:05.727Z,"7km WNW of Cobb, CA",earthquake,0.29,0.46,0.01,3,automatic,nc,nc
2020-05-01T19:22:09.570Z,38.8404999,-122.8376694,1.82,0.77,md,21,86,0.002558,0.02,nc,nc73378955,2020-05-01T19:37:02.911Z,"10km NW of The Geysers, CA",earthquake,0.22,0.43,0.31,4,automatic,nc,nc
2020-05-01T19:20:22.650Z,19.335,-155.1265,5.96,2.3,ml,48,125,0.04894,0.1,hv,hv71495782,2020-05-01T23:46:48.610Z,"15km SE of Volcano, Hawaii",earthquake,0.34,0.48,0.126,25,reviewed,hv,hv
2020-05-01T19:12:46.730Z,17.948,-66.5916,6,2.55,md,16,191,0.0959,0.22,pr,pr2020122019,2020-05-02T19:14:33.942Z,"7km SSE of Ponce, Puerto Rico",earthquake,0.55,0.34,0.34,13,reviewed,pr,pr
2020-05-01T19:09:38.421Z,-24.9722,179.9181,492,4.4,mb,,125,7.398,1.72,us,us700098cw,2020-05-01T19:27:30.040Z,"South of the Fiji Islands",earthquake,15.7,11.1,0.082,43,reviewed,us,us
2020-05-01T19:02:50.320Z,46.2561666666667,-122.505333333333,-1.06,1.47,ml,21,98,0.1225,0.23,uw,uw61618706,2020-05-01T21:33:17.440Z,"31km E of Castle Rock, Washington",explosion,0.52,31.61,0.108987887854017,13,reviewed,uw,uw
2020-05-01T18:42:39.707Z,44.5377,-115.2637,13.26,2.5,ml,,83,0.442,1.28,us,us700098c9,2020-05-01T21:10:47.040Z,"61km E of Cascade, Idaho",earthquake,2.1,8.8,0.049,54,reviewed,us,us
2020-05-01T18:30:24.420Z,37.9816667,-122.4573333,-0.03,1.13,md,16,126,0.02448,0.1,nc,nc73378940,2020-05-02T00:01:58.443Z,"6km ESE of Santa Venetia, CA",quarry blast,0.39,31.61,0.26,13,reviewed,nc,nc
2020-05-01T18:28:42.388Z,58.4443,-137.1751,0,2.6,ml,,,,1.09,ak,ak0205m2g8ge,2020-05-01T21:02:22.040Z,"80km W of Gustavus, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-05-01T18:26:46.840Z,33.5026667,-116.516,9.21,1.49,ml,46,55,0.05611,0.17,ci,ci38475874,2020-05-01T19:30:44.804Z,"16km ESE of Anza, CA",earthquake,0.2,0.41,0.244,27,reviewed,ci,ci
2020-05-01T18:26:30.345Z,37.1116,-114.7354,0,1.8,ml,8,114.84,0.388,0.2221,nn,nn00724185,2020-05-02T02:08:36.489Z,"47km SE of Alamo, Nevada",earthquake,,0,0.88,6,reviewed,nn,nn
2020-05-01T18:03:43.800Z,38.0446667,-118.7523333,2.7,2.15,md,27,109,0.2839,0.06,nc,nc73378930,2020-05-02T12:32:03.907Z,"29km SE of Bodie, CA",earthquake,0.33,7.97,0.198,26,reviewed,nc,nc
2020-05-01T18:03:13.146Z,35.0214,24.668,43.44,4.3,mb,,105,0.322,0.88,us,us700098be,2020-05-01T18:57:05.040Z,"8km S of Ayia Galini, Greece",earthquake,5.8,6.5,0.073,61,reviewed,us,us
2020-05-01T18:00:19.640Z,58.1868333,-155.2806667,1.68,-1.21,ml,5,146,0.03422,0.14,av,av70891244,2020-05-01T19:34:00.350Z,"98km SE of King Salmon, Alaska",earthquake,0.62,1.38,0.237,5,reviewed,av,av
2020-05-01T17:57:50.330Z,52.0738333,-176.1228333,2.53,-0.86,ml,4,205,0.02413,0.25,av,av70891264,2020-05-02T00:52:13.950Z,"42km ENE of Adak, Alaska",earthquake,1.04,1.79,0.181,4,reviewed,av,av
2020-05-01T17:43:23.150Z,36.1083333,-117.5868333,4.87,1.04,ml,16,123,0.09382,0.1,ci,ci38475834,2020-05-01T19:45:41.521Z,"33km ENE of Coso Junction, CA",earthquake,0.19,1.21,0.173,10,reviewed,ci,ci
2020-05-01T17:39:46.880Z,36.1056667,-117.5921667,2.55,1.54,ml,26,48,0.09616,0.12,ci,ci38475826,2020-05-01T19:41:08.390Z,"33km ENE of Coso Junction, CA",earthquake,0.13,0.25,0.168,16,reviewed,ci,ci
2020-05-01T17:17:05.454Z,63.5213,-148.7195,15.5,1,ml,,,,0.9,ak,ak0205m1sd4j,2020-05-01T17:21:46.964Z,"18km NE of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-05-01T17:10:51.450Z,38.0505,-118.7335,4.67,2.36,md,28,113,0.2696,0.07,nc,nc73378920,2020-05-02T12:17:02.799Z,"30km SE of Bodie, CA",earthquake,0.25,7.08,0.13,26,reviewed,nc,nc
2020-05-01T17:03:15.939Z,61.789,-150.3268,35.4,1.4,ml,,,,0.58,ak,ak0205m1pdwl,2020-05-01T17:09:53.840Z,"15km WNW of Willow, Alaska",earthquake,,3.8,,,automatic,ak,ak
2020-05-01T17:02:09.214Z,37.8761,-116.1495,12,2.7,ml,23,94.92,0.394,0.1729,nn,nn00724173,2020-05-02T02:08:22.809Z,"36km SE of Warm Springs, Nevada",earthquake,,2.2,0.22,14,reviewed,nn,nn
2020-05-01T16:56:34.310Z,35.9226667,-117.7176667,3.64,0.89,ml,13,55,0.06013,0.07,ci,ci38475786,2020-05-01T19:31:24.808Z,"17km E of Little Lake, CA",earthquake,0.12,0.5,0.183,9,reviewed,ci,ci
2020-05-01T16:55:09.740Z,38.8111649,-122.829834,2.7,0.56,md,8,218,0.00235,0.01,nc,nc73378915,2020-05-01T18:21:05.246Z,"7km WNW of The Geysers, CA",earthquake,0.84,1.23,,1,automatic,nc,nc
2020-05-01T16:48:38.347Z,36.7186,71.095,245.12,4.4,mb,,63,2.055,0.51,us,us700098a0,2020-05-01T18:05:20.040Z,"28km SE of Jarm, Afghanistan",earthquake,8.4,9.2,0.126,18,reviewed,us,us
2020-05-01T16:41:09.890Z,33.6736667,-116.7816667,16.77,0.89,ml,23,75,0.06757,0.12,ci,ci38475762,2020-05-01T19:24:32.766Z,"9km SW of Idyllwild, CA",earthquake,0.23,0.37,0.059,10,reviewed,ci,ci
2020-05-01T16:38:08.960Z,17.9878,-66.8761,10,2.79,md,22,101,0.0131,0.18,pr,pr2020122018,2020-05-01T17:24:35.131Z,"1km NE of Maria Antonia, Puerto Rico",earthquake,0.36,0.55,0.28,17,reviewed,pr,pr
2020-05-01T16:38:04.260Z,33.5006667,-116.7795,3.74,0.43,ml,24,37,0.02097,0.12,ci,ci38475746,2020-05-01T19:24:01.944Z,"10km NE of Aguanga, CA",earthquake,0.16,0.41,0.1,11,reviewed,ci,ci
2020-05-01T16:32:49.220Z,36.1246667,-117.848,2.56,2,ml,28,53,0.008992,0.12,ci,ci38475738,2020-05-01T19:15:32.570Z,"13km NE of Coso Junction, CA",earthquake,0.13,0.18,0.252,20,reviewed,ci,ci
2020-05-01T16:23:03.830Z,52.0551667,-176.1208333,-1.8,-0.88,ml,4,134,0.01604,0.21,av,av70891254,2020-05-01T19:40:03.480Z,"41km ENE of Adak, Alaska",earthquake,0.48,1.71,0.119,4,reviewed,av,av
2020-05-01T16:22:35.190Z,34.3611667,-117.6301667,11.44,0.87,ml,18,83,0.04487,0.1,ci,ci38475714,2020-05-01T18:32:07.596Z,"0km E of Wrightwood, CA",earthquake,0.19,0.3,0.147,13,reviewed,ci,ci
2020-05-01T16:21:10.600Z,36.1261667,-117.8486667,2.85,1.97,ml,31,54,0.009928,0.12,ci,ci38475706,2020-05-01T18:24:18.670Z,"13km NE of Coso Junction, CA",earthquake,0.14,0.22,0.248,22,reviewed,ci,ci
2020-05-01T16:21:10.350Z,58.2308333,-155.1026667,6.37,-0.97,ml,6,182,0.04533,0.12,av,av70891239,2020-05-01T19:31:58.810Z,"101km NW of Larsen Bay, Alaska",earthquake,0.76,2.39,0.172,5,reviewed,av,av
2020-05-01T16:09:31.257Z,63.02,-150.5356,109.9,1.9,ml,,,,0.33,ak,ak0205m159sq,2020-05-01T16:21:59.440Z,"80km NNW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-05-01T16:01:07.525Z,59.7837,-153.0564,97.5,1.3,ml,,,,0.4,ak,ak0205m0u4hb,2020-05-01T16:11:23.981Z,"68km W of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-05-01T15:55:16.140Z,17.957,-66.8336,10,3.03,md,22,185,0.0491,0.16,pr,pr2020122017,2020-05-01T17:52:13.040Z,"6km S of Indios, Puerto Rico",earthquake,0.5,0.66,0.14,14,reviewed,pr,pr
2020-05-01T15:54:33.380Z,32.772,-115.8133333,8.07,1.24,ml,23,58,0.07006,0.18,ci,ci38475690,2020-05-01T18:07:51.651Z,"17km ENE of Ocotillo, CA",earthquake,0.23,1.06,0.222,13,reviewed,ci,ci
2020-05-01T15:49:41.387Z,59.4319,-153.2425,18.6,1.1,ml,,,,0.27,ak,ak0205m0sflg,2020-05-01T19:21:57.370Z,"94km WSW of Anchor Point, Alaska",earthquake,,0.1,,,automatic,ak,ak
2020-05-01T15:49:31.423Z,62.1928,-149.737,35.4,1.3,ml,,,,0.69,ak,ak0205m0sety,2020-05-01T16:06:31.683Z,"6km ENE of Y, Alaska",earthquake,,1.3,,,automatic,ak,ak
2020-05-01T15:45:14.560Z,35.6521667,-117.4445,9.91,0.97,ml,24,71,0.06709,0.14,ci,ci38475666,2020-05-01T17:53:01.754Z,"13km SSW of Searles Valley, CA",earthquake,0.22,0.47,0.215,12,reviewed,ci,ci
2020-05-01T15:37:39.390Z,34.8621667,-118.7766667,-1.17,1.24,ml,17,56,0.08506,0.22,ci,ci38475658,2020-05-01T23:35:33.972Z,"8km ENE of Lebec, CA",quarry blast,0.44,31.61,0.149,11,reviewed,ci,ci
2020-05-01T15:34:54.765Z,62.5384,-151.3103,83.3,1,ml,,,,0.6,ak,ak0205m0p8w4,2020-05-01T15:38:33.169Z,"66km WNW of Talkeetna, Alaska",earthquake,,1.1,,,automatic,ak,ak
2020-05-01T15:32:50.520Z,38.8263321,-122.8133316,1.78,1.05,md,18,46,0.01725,0.02,nc,nc73378890,2020-05-01T16:18:02.720Z,"7km NW of The Geysers, CA",earthquake,0.2,0.39,0.12,5,automatic,nc,nc
2020-05-01T15:32:50.520Z,52.0841667,-176.0996667,9.12,-0.75,ml,4,204,0.02546,0.15,av,av70891234,2020-05-01T19:29:27.030Z,"44km ENE of Adak, Alaska",earthquake,1.2,1,0.22,4,reviewed,av,av
